Trade_ID,Entry_Date,Exit_Date,Entry_Price,Exit_Price,Holding_Months,Holding_Days,Trade_Return_%,Cumulative_Return_%,Winning_Trade
1,2005-05-31,2005-09-30,103.9320176150348,104.70601020998416,4,122,0.7447104489169435,0.744710448916952,Yes
2,2005-12-31,2006-01-31,104.56692976224684,104.56331592915424,1,31,-0.003456000000016755,-0.003456000000012782,No
3,2006-04-30,2006-06-30,104.59185119861706,104.4523296355739,2,61,-0.13339620768181368,-0.13339620768181293,No
4,2006-07-31,2007-03-31,104.49396923267452,105.46814633790268,8,243,0.9322806975194763,0.9322806975194942,Yes
5,2007-05-31,2007-06-30,104.89907268944074,104.6099464002846,1,30,-0.27562330318411643,-0.27562330318411377,No
6,2007-10-31,2007-11-30,102.95196679734822,101.05117665462642,1,30,-1.846288324402135,-1.8462883244021344,No
7,2007-12-31,2008-01-31,101.34555722052102,100.71706173396238,1,31,-0.620151000000001,-0.6201510000000021,No
8,2008-04-30,2008-06-30,99.54170156681953,99.71053819787106,2,61,0.16961396921490055,0.16961396921491012,Yes
9,2009-01-31,2010-04-30,90.76446161614616,104.6765951008335,15,454,15.327732062713508,15.327732062713517,Yes
10,2010-06-30,2010-08-31,103.48310406789294,103.6458843954962,2,62,0.15730135761724107,0.1573013576172455,Yes
11,2010-09-30,2011-03-31,104.60066936011356,105.57305126661576,6,182,0.9296134646658358,0.929613464665846,Yes
12,2011-04-30,2011-06-30,105.94346755727238,105.83597794339168,2,61,-0.10145940694511793,-0.10145940694510358,No
13,2011-07-31,2011-08-31,105.87445504366686,104.05864542529348,1,31,-1.7150592346609639,-1.715059234660965,No
14,2011-10-31,2011-11-30,104.19464064179184,103.74556813539095,1,30,-0.4309938626735482,-0.43099386267354545,No
15,2011-12-31,2012-04-30,104.2261951629852,106.05461341722848,4,121,1.754279000000009,1.754279000000003,Yes
16,2012-06-30,2013-04-30,105.40275569386844,109.76092343520747,10,304,4.134775900923202,4.1347759009232155,Yes
17,2013-05-31,2013-06-30,110.23445838407716,109.80395115132974,1,30,-0.39053780374866987,-0.39053780374865843,No
18,2013-07-31,2013-08-31,110.13962659135343,110.04227486428658,1,31,-0.08838937454187225,-0.08838937454187512,No
19,2013-10-31,2014-08-31,110.3191257904712,112.39299683714673,10,304,1.879883503259823,1.8798835032598493,Yes
20,2014-11-30,2014-12-31,112.19170941556656,111.94942070654008,1,31,-0.2159595484270826,-0.21595954842708043,No
21,2015-02-28,2015-06-30,112.171329087253,112.2397939944745,4,122,0.06103601319392491,0.06103601319393803,Yes
22,2015-08-31,2015-09-30,111.1950092333176,111.168989948957,1,30,-0.02339968721618166,-0.02339968721617458,No
23,2015-11-30,2018-03-31,111.71499861958058,119.23267952956844,28,852,6.729338945424483,6.7293389454244235,Yes
24,2018-08-31,2018-09-30,119.93760499094984,120.06230690764004,1,30,0.10397232519326104,0.10397232519325783,Yes
25,2018-10-31,2018-11-30,119.7188493117202,118.66626915334002,1,30,-0.8792100529128086,-0.8792100529128044,No
26,2019-02-28,2020-02-29,119.54353992333664,122.06307465008494,12,366,2.1076293443912433,2.1076293443912597,Yes
27,2020-04-30,2021-08-31,116.68493248989948,125.89517546970109,16,488,7.893258181041383,7.893258181041407,Yes
28,2021-09-30,2021-11-30,126.20002956912496,126.33799823249169,2,61,0.10932538117287001,0.1093253811728756,Yes
29,2022-01-31,2022-02-28,125.97423746331852,124.99748200304776,1,28,-0.7753612801626729,-0.7753612801626564,No
30,2022-04-30,2022-05-31,124.37353493732552,124.1646267851224,1,31,-0.1679683320960488,-0.16796833209603568,No
31,2022-06-30,2022-07-31,124.2408695829124,124.6021607925634,1,31,0.2907990026662617,0.29079900266626435,Yes
32,2022-08-31,2022-10-31,125.1741501410695,124.1900486464696,2,61,-0.7861858806237785,-0.7861858806237687,No
33,2022-11-30,2023-05-31,125.33005240848378,127.052542830237,6,182,1.374363441690082,1.374363441690063,Yes
34,2023-06-30,2023-10-31,127.76591105950588,128.28106683156864,4,123,0.40320283226628867,0.40320283226633613,Yes
35,2023-12-31,2024-08-31,130.10655219852825,131.65412930389857,8,244,1.1894690000000083,1.1894689999999652,Yes
36,2024-09-30,2025-01-31,132.59478016031107,134.18388111594766,4,123,1.1984641881945206,1.1984641881945146,Yes
37,2025-02-28,2025-03-31,133.9308355561772,133.89309665072392,1,31,-0.028177906377234187,-0.028177906377224726,No
38,2025-06-30,2025-08-31,135.65958823430563,136.08491484571738,2,62,0.3135249169982305,0.31352491699823126,Yes (Open)
